Counts,Degree
145663.0,3.0
68561.0,3.504
0.0,4.008
35383.0,4.5120000000000005
0.0,5.016
26760.0,5.52
0.0,6.024
19346.0,6.5280000000000005
0.0,7.032
14546.0,7.536
0.0,8.04
10778.0,8.544
0.0,9.048
8413.0,9.552
0.0,10.056000000000001
6591.0,10.56
0.0,11.064
5638.0,11.568
0.0,12.072
4455.0,12.576
0.0,13.08
4075.0,13.584
0.0,14.088000000000001
3411.0,14.592
0.0,15.096
2895.0,15.6
0.0,16.104
2596.0,16.608
0.0,17.112000000000002
2023.0,17.616
0.0,18.12
1953.0,18.624000000000002
0.0,19.128
1542.0,19.632
0.0,20.136
1369.0,20.64
0.0,21.144
1218.0,21.648
0.0,22.152
1016.0,22.656
0.0,23.16
1014.0,23.664
0.0,24.168
927.0,24.672
0.0,25.176000000000002
785.0,25.68
0.0,26.184
734.0,26.688
0.0,27.192
753.0,27.696
0.0,28.2
700.0,28.704
0.0,29.208
671.0,29.712
0.0,30.216
634.0,30.72
0.0,31.224
640.0,31.728
0.0,32.232
550.0,32.736000000000004
0.0,33.24
541.0,33.744
0.0,34.248000000000005
547.0,34.751999999999995
0.0,35.256
457.0,35.76
0.0,36.264
438.0,36.768
0.0,37.272
362.0,37.776
0.0,38.28
338.0,38.784
0.0,39.288
389.0,39.792
0.0,40.296
345.0,40.8
0.0,41.304
353.0,41.808
0.0,42.312
363.0,42.816
0.0,43.32
309.0,43.824
0.0,44.328
325.0,44.832
0.0,45.336
317.0,45.84
0.0,46.344
264.0,46.848
0.0,47.352000000000004
268.0,47.856
0.0,48.36
277.0,48.864
0.0,49.368
285.0,49.872
0.0,50.376
231.0,50.88
0.0,51.384
259.0,51.888
0.0,52.392
209.0,52.896
0.0,53.4
197.0,53.904
0.0,54.408
221.0,54.912
0.0,55.416
222.0,55.92
0.0,56.424
181.0,56.928
0.0,57.432
191.0,57.936
0.0,58.44
185.0,58.944
0.0,59.448
145.0,59.952
0.0,60.456
124.0,60.96
0.0,61.464
151.0,61.968
0.0,62.472
157.0,62.976
0.0,63.480000000000004
146.0,63.984
0.0,64.488
146.0,64.99199999999999
0.0,65.49600000000001
173.0,66.0
150.0,66.50399999999999
0.0,67.008
152.0,67.512
0.0,68.016
168.0,68.52
0.0,69.024
